Rawhide, Premiere Episode;54;No
Mummy's Hand, The;54;No
Mosquito Coast, The;54;No
Deadly Trackers;54;No
Another Forty-Eight Hours;54;No
Miles from Home;53;No
A New Life;53;No
Rainbow, The;53;No
High Spirits;53;No
Protocol;53;No
Paris Trout;53;No
See You in the Morning;53;No
Brass Target;53;No
Honeymoon in Vegas;53;No
To Die Standing;53;No
On Wings of Eagles;53;No
Allegheny Uprising;53;No
Yol;53;No
Throwback, The;53;No
Complete Dirty Harry, Magnum Force, The;53;No
Barbarian & the Geisha, The;52;No
Nobody's Fool;52;No
Split Decisions;52;No
Between Two Women;52;No
Slightly Scarlet;52;No
Heller in Pink Tights;52;No
Blood Feud;52;No
Silkwood;52;No
Nuts;52;No
Dark Command;52;No
Dial M for Murder;52;No
Father's Little Dividend;52;No
Survivors, The;52;No
Mystery of the Hooded Horsemen;52;No
Branford Marsalis, Steep;52;No
Lindbergh Kidnapping Case, The;51;No
Flight of the Intruder;51;No
Beyond the Limit;51;No
Shirley Valentine;51;No
Brood, The;51;No
Range Feud, The;51;No
Bodycount;51;No
Desk Set;51;No
Northwest Passage;51;No
Breathless;51;No
Lovesick;51;No
We're No Angels;51;No
A Shot in the Dark;51;No
Lean on Me;51;No
Killing, The;51;No
A Patch of Blue;51;No
Eddie Murphy Raw;51;No
Return of Martin Guerre, The;51;No
Jack Benny Show;51;No
Final Analysis;50;No
Torpedo Run;50;No
Secret Agent;50;No
Big Bust Out, The;50;No
Hombre;50;No
Julius Caesar;50;No
Guess Who's Coming to Dinner;50;Yes
Tin Men;50;No
Desert Trail, The;50;No
Amarcord;50;Yes
Racing with the Moon;50;No
Come Back, Little Sheba;50;Yes
Surf Nazis Must Die;50;No
Tequila Sunrise;50;No
In Too Deep;50;No
Soggy Bottom U. S. A.;50;No
Night Tide;50;No
Murder;50;No
Rhapsody in August;50;No
Catch Twenty-Two;50;No
Wild Bunch, The;50;No
A Man & a Woman: Twenty Years Later;49;No
Vampire's Kiss;49;No
Autumn Sonata;49;Yes
A Woman's Face;49;No
Vagabond;49;No
Seven Minutes in Heaven;49;No
Triumph of the Spirit;49;No
Seems Like Old Times;49;No
Affair in Trinidad;49;No
Quackser Fortune Has a Cousin in the Bronx;49;No
Hard To Kill;49;No
Sophia Loren, Her Own Story;49;No
PK. & the Kid.;49;No
Cool Hand Luke;49;Yes
State of Grace;49;No
Down by Law;49;No
Metropolis;49;No
Spies;49;No
What Comes Around;49;No
Industrial Symphony, The Dream of the Broken-Hearted;49;No
John Wayne Collection, Red River, The;49;No
Siesta;48;No
Misery;48;Yes
Rookie, THe;48;No
A Lesson in Love;48;No
Network;48;Yes
Big Bands, The;48;No
Loves of Carmen, The;48;No
Pat & Mike;48;No
White of the Eye;48;No
Track Twenty-Nine;48;No
Buddy System, The;48;No
One Hundred Rifles;48;No
Fury;48;No
Duel;48;No
Erasure, Live Wild!;48;No
Lucky Texan;48;No
Nadine;47;No
Meridian;47;No
Straight to Hell;47;No
Alrededor de Medianoche;47;No
Paths of Glory;47;No
Young Love: Lemon Popsicle Seven;47;No
Trick or Treat;47;No
Water;47;No
Play Misty for Me;47;No
Young Einstein;47;No
Attack of the Killer Tomatoes;47;No
Santee;47;No
Instant Karma;47;No
Chuka;47;No
A Man & a Woman;46;Yes
Foul Play;46;No
What's New Pussycat?;46;No
Fawlty Towers, Gourmet Night, Waldorf Salad & The Kipper & the Corpse;46;No
Yentl;46;No
Sun Shines Bright, The;46;No
Last Hurrah, The;46;No
Paint Your Wagon;46;No
Conan the Barbarian;45;No
Under the Sun of Satan;45;No
Instant Justice;45;No
Marbella;45;No
Back to the Beach;45;No
Competition, The;45;No
Easy Virtue;45;No
House of the Rising Sun;45;No
Macbeth;45;No
Maurice;45;No
Pleasure Palace;45;No
Pale Rider;45;No
Cocoon;45;Yes
Spider's Stratagem;45;No
Inside Man, The;45;No
Ticket of Leave Man, The;45;No
Full Metal Jacket;45;No
Thirty Seconds over Tokyo;45;No
All the President's Men;45;Yes
How the West Was Won;45;No
Case of the Mukkinese Battle Horn, The;45;No
Cool World;44;No
Wings;44;Yes
Darling;44;Yes
Star Wars;44;No
Jane Eyre;44;No
Hot Pursuit;44;No
Burglar;44;No
A View to a Kill;44;No
Rebel Rousers;44;No
Hand, The;44;No
Encounters;44;No
Cimarron;44;Yes
Doin' Time on Planet Earth;44;Yes
And Now for Something Completely Different;44;No
Joe Piscopo Video, The;44;No
Spencer Tracy Legacy, The;44;No
Dawn Rider, The;44;No
Power;43;No
China Syndrome, The;43;No
Hustler, The;43;Yes
Courtship of Eddie's Father, The;43;No
Night Train to Katmandu, THe;43;No
Jet Pilot;43;No
Pretty Woman;43;No
She-Devil;43;No
Cookie;43;No
Young & Innocent;43;No
West to Glory;43;No
Border Feud;43;No
Blood & Guns;43;No
Wild Strawberries;42;Yes
Notorious;42;No
A Guy Named Joe;42;No
Burbs, The;42;No
Souvenir;42;No
Harvey;42;No
Adventures of Sherlock Holmes' Smarter;42;No
World's Greatest Lover, The;42;No
